Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/weather/forecast,59,360,169,661,1322,2217,80,2684,0.000%,.99860,3.54,0.20
TOTAL,59,360,169,661,1322,2217,80,2684,0.000%,.99860,3.54,0.20
