Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/weather/forecast,60,267,315,371,407,447,151,499,0.000%,.86909,3.08,0.17
TOTAL,60,267,315,371,407,447,151,499,0.000%,.86909,3.08,0.17
