Label            , # Samples, Average, Min, Max, Std. Dev., Error %, Throughput, Received KB/sec, Sent KB/sec, Avg. Bytes
/weather/forecast,       100,     202,  67, 667,    104.05, 0.000% ,    9.85902,           35.00,        1.94,     3635.0
TOTAL            ,       100,     202,  67, 667,    104.05, 0.000% ,    9.85902,           35.00,        1.94,     3635.0
