Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/weather/forecast,5000,22084,26600,32474,32803,33043,189,33874,12.560%,119.59434,409.55,20.53
TOTAL,5000,22084,26600,32474,32803,33043,189,33874,12.560%,119.59434,409.55,20.53
