Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/weather/forecast,60,170,11,415,464,601,6,726,50.000%,2.03293,3.86,0.40
TOTAL,60,170,11,415,464,601,6,726,50.000%,2.03293,3.86,0.40
